Company,quantity
RDCD3,672971000
RDNI3,43770000
RDOR3,2010370000
RDTR3,108481000
RECV3,248535000
REDE3,2110320000
REDE4,2110320000
REEM4,6147510000
RENT3,758467000
REPA3,0
REPA4,0
RGEG3,1019790000
RHDS3,8024960000
RHDS4,8024960000
RIPI3,29600000
RIPI4,29600000
RJCP3,1121070000
RLOG3,463224000
RNEW11,109480000
RNEW3,109480000
RNEW4,109480000
RNPT3,776000
RNPT4,776000
ROMI3,73334000
ROMI4,73334000
RPAD3,84682000
RPAD5,84682000
RPAD6,84682000
RPMG3,67692000
RPMG4,67692000
RPSA4,370645000
RRRP3,202593000
RSID3,20000000
RSIP3,200078000
RSIP4,200078000
RSUL4,5830000
SALM3,0
SALM4,0
SANB11,7498530000
SANB3,7498530000
SANB4,7498530000
SAPR11,1511210000
SAPR3,1511210000
SAPR4,1511210000
SASG3,2045530000
SBFG3,242998000
SBSP3,683510000
SCAR3,57737000
SCAR4,57737000
SCLO3,960000
SCLO4,960000
SDIA3,672951000
SDIA4,672951000
SEBB11,282634000
SEBB3,282634000
SEBB4,282634000
SEDU3,262129000
SEER3,128722000
SEMP3,9585000
SEQL3,139630000
SFSA3,137747000
SFSA4,137747000
SGEN3,24275000000
SGEN4,24275000000
SGPS3,50000000
SHOW3,67413000
SHUL4,178687000
SIMH3,837122000
SJOS3,13500000
SJOS4,13500000
SLCE3,212423000
SLCP3,0
SLED3,1812000
SLED4,1812000
SMFT3,586242000
SMLE3,123857000
SMLS3,124159000
SMTO3,354011000
SNSY5,7716000
SOJA3,117140000
SOMA3,784747000
SOND3,2458000
SOND5,2458000
SOND6,2458000
SPRI3,2529000
SPRI5,2529000
SPRI6,2529000
SQIA3,87942000
STBP11,862831000
STBP3,862831000
STRP4,25391600000
SUBA3,52979000
SULA11,1277530000
SULA3,1277530000
SULA4,1277530000
SULT3,12600000
SULT4,12600000
SUZA4,172927000
SUZB3,1361260000
SUZB5,1361260000
SUZB6,1361260000
SYNE3,152644000
SZPQ4,226695000
TAEE11,1033500000
TAEE3,1033500000
TAEE4,1033500000
TAMM3,156548000
TAMM4,156548000
TANC4,156548000
TARP11,9228690
TASA3,118100000
TASA4,118100000
TBLE5,815928000
TBLE6,815928000
TCNO3,6620000
TCNO4,6620000
TCOC3,130068000
TCOC4,130068000
TCSA3,73619000
TCSL4,2421030000
TDBH3,1071150000000
TDBH4,1071150000000
TECN3,78506000
TEFC11,1946000
TEKA3,503000
TEKA4,503000
TELB3,67865000
TELB4,67865000
TEMP3,160981000
TEND3,104344000
TENE5,121000
TENE7,121000
TERI3,16354000
TESA3,28952000
TFCO4,159718000
TGMA3,66003000
TIET11,1995530000
TIET3,1995530000
TIET4,1995530000
TIMP3,2421030000
TIMS3,2420800000
TKNO4,2948000
TLCP3,9644000
TLCP4,9644000
TMAR3,344497000
TMAR5,344497000
TMAR6,344497000
TMCP3,44402000
TMCP4,44402000
TMGC11,2372000
TMGC12,2372000
TMGC13,2372000
TMGC3,2372000
TMGC7,2372000
TNCP3,178627000
TNCP4,178627000
TNEP3,0
TNEP4,0
TNLP3,476661000
TNLP4,476661000
TOTS3,617183000
TOYB3,30064000
TOYB4,30064000
TPIS3,176000000
TPRC3,2421030000
TPRC6,2421030000
